trial,yield,mse,active_ingredient,year,spray
124,2295.25,43377.2087,tebu,2009,
125,1600.60,28605.2184,check,2009,3
125,1898.38,28605.2184,trif_prot,2009,3
125,2082.13,28605.2184,pyra_metc,2009,3
125,2058.28,28605.2184,azox_cypr,2009,3
125,1941.63,28605.2184,tebu,2009,3
126,2849.03,55982.2861,check,2009,2
126,3289.10,55982.2861,trif_prot,2009,2
126,3338.25,55982.2861,pyra_metc,2009,2
126,3264.20,55982.2861,azox_cypr,2009,2
126,3085.75,55982.2861,tebu,2009,2
127,1225.85,55772.6096,check,2009,2
127,3237.18,55772.6096,trif_prot,2009,2
127,3041.68,55772.6096,pyra_metc,2009,2
127,2869.48,55772.6096,azox_cypr,2009,2
127,1820.25,55772.6096,tebu,2009,2
128,414.23,154818.7690,check,2009,3
128,1350.80,154818.7690,trif_prot,2009,3
128,1297.30,154818.7690,pyra_metc,2009,3
128,1273.60,154818.7690,azox_cypr,2009,3
128,924.48,154818.7690,tebu,2009,3
129,1762.35,70642.9435,check,2009,2
129,3086.78,70642.9435,trif_prot,2009,2
129,2737.58,70642.9435,pyra_metc,2009,2
129,2953.18,70642.9435,azox_cypr,2009,2
129,2542.10,70642.9435,tebu,2009,2
130,3383.58,82733.6261,check,2009,2
130,3763.73,82733.6261,trif_prot,2009,2
130,3415.43,82733.6261,pyra_metc,2009,2
130,3894.03,82733.6261,azox_cypr,2009,2
130,3831.55,82733.6261,tebu,2009,2
131,1018.88,55696.4765,check,2009,3
131,2198.40,55696.4765,trif_prot,2009,3
131,2130.35,55696.4765,pyra_metc,2009,3
131,2009.00,55696.4765,azox_cypr,2009,3
131,1778.70,55696.4765,tebu,2009,3
132,2431.70,84419.3337,check,2009,2
132,2757.03,84419.3337,trif_prot,2009,2
132,3141.43,84419.3337,pyra_metc,2009,2
132,3111.35,84419.3337,azox_cypr,2009,2
132,3181.23,84419.3337,tebu,2009,2
133,1462.75,7330.6101,check,2009,2
133,2720.23,7330.6101,trif_prot,2009,2
133,3093.98,7330.6101,pyra_metc,2009,2
133,2556.18,7330.6101,azox_cypr,2009,2
133,2675.78,7330.6101,tebu,2009,2
134,1760.25,12783.2654,check,2009,
134,2776.13,12783.2654,trif_prot,2009,
134,2579.05,12783.2654,pyra_metc,2009,
134,2609.78,12783.2654,azox_cypr,2009,
134,2259.58,12783.2654,tebu,2009,
135,555.00,35642.7778,check,2009,2
135,1187.50,35642.7778,trif_prot,2009,2
135,987.50,35642.7778,pyra_metc,2009,2
135,1077.50,35642.7778,azox_cypr,2009,2
135,737.50,35642.7778,tebu,2009,2
136,2955.00,50072.8745,check,2009,2
136,3346.60,50072.8745,trif_prot,2009,2
136,3080.20,50072.8745,pyra_metc,2009,2
136,3284.73,50072.8745,azox_cypr,2009,2
136,3204.58,50072.8745,tebu,2009,2
137,2410.38,297017.3414,check,2009,2
137,3337.88,297017.3414,trif_prot,2009,2
137,2826.88,297017.3414,pyra_metc,2009,2
137,3397.83,297017.3414,azox_cypr,2009,2
137,2973.23,297017.3414,tebu,2009,2
138,1552.08,98058.0460,check,2009,2
138,2942.70,98058.0460,trif_prot,2009,2
138,2510.43,98058.0460,pyra_metc,2009,2
138,2588.53,98058.0460,azox_cypr,2009,2
138,2312.53,98058.0460,tebu,2009,2
139,1014.33,18124.1271,check,2009,2
139,1735.28,18124.1271,trif_prot,2009,2
139,1599.50,18124.1271,pyra_metc,2009,2
139,1509.05,18124.1271,azox_cypr,2009,2
139,1412.15,18124.1271,tebu,2009,2
140,2800.20,54301.6197,check,2009,
140,3532.43,54301.6197,trif_prot,2009,
140,3668.52,54301.6197,pyra_metc,2009,
140,3426.54,54301.6197,azox_cypr,2009,
140,2978.32,54301.6197,tebu,2009,
141,2262.58,39495.6889,check,2009,
141,2250.36,39495.6889,trif_prot,2009,
141,2197.82,39495.6889,pyra_metc,2009,
141,2104.34,39495.6889,azox_cypr,2009,
141,2163.88,39495.6889,tebu,2009,
142,1928.25,28268.9166,check,2010,3
142,3756.05,28268.9166,pyra_metc,2010,3
142,3413.95,28268.9166,pico_cypr,2010,3
142,3046.23,28268.9166,cypr,2010,3
142,3964.40,28268.9166,pyra_epox,2010,3
142,3540.18,28268.9166,azox_cypr,2010,3
142,2884.25,28268.9166,tebu,2010,3
143,615.38,50784.4603,check,2010,2
143,2693.55,50784.4603,pyra_metc,2010,2
143,2926.93,50784.4603,pico_cypr,2010,2
143,1322.90,50784.4603,cypr,2010,2
143,2531.13,50784.4603,pyra_epox,2010,2
143,2683.03,50784.4603,azox_cypr,2010,2
143,1273.80,50784.4603,tebu,2010,2
144,865.75,95932.2788,check,2010,2
144,1963.08,95932.2788,pyra_metc,2010,2
144,1925.33,95932.2788,pico_cypr,2010,2
144,1685.65,95932.2788,cypr,2010,2
144,2010.38,95932.2788,pyra_epox,2010,2
144,2007.53,95932.2788,azox_cypr,2010,2
144,1387.28,95932.2788,tebu,2010,2
145,2057.58,65653.5117,check,2010,2
145,2861.55,65653.5117,pico_cypr,2010,2
145,2380.38,65653.5117,cypr,2010,2
145,2769.50,65653.5117,pyra_epox,2010,2
145,2728.40,65653.5117,azox_cypr,2010,2
145,2172.68,65653.5117,tebu,2010,2
146,1107.53,29542.5240,check,2010,3
146,3002.50,29542.5240,pyra_metc,2010,3
146,3024.53,29542.5240,pico_cypr,2010,3
146,1973.30,29542.5240,cypr,2010,3
146,3052.03,29542.5240,pyra_epox,2010,3
146,2727.93,29542.5240,azox_cypr,2010,3
146,1717.55,29542.5240,tebu,2010,3
147,1417.08,68399.4126,check,2010,3
147,3619.48,68399.4126,pyra_metc,2010,3
147,3887.65,68399.4126,pico_cypr,2010,3
147,2455.55,68399.4126,cypr,2010,3
147,3697.68,68399.4126,pyra_epox,2010,3
147,3629.43,68399.4126,azox_cypr,2010,3
147,1819.33,68399.4126,tebu,2010,3
148,3297.58,91938.7620,check,2010,2
148,3850.93,91938.7620,pyra_metc,2010,2
